Roaming Scheme ID,Allow Roaming,Roaming Scheme Name,Roaming SGSN ID,SGSN Number,Number Type,Local SGSN,Description
3,Yes,3,590,38970,Number prefix,No,
3,Yes,3,591,39320,Number prefix,No,
3,Yes,3,592,39339,Number prefix,No,
3,Yes,3,593,39340,Number prefix,No,
3,Yes,3,594,39349,Number prefix,No,
3,Yes,3,595,39371,Number prefix,No,
3,Yes,3,1136,883130,Number prefix,No,
3,Yes,3,1137,62855,Number prefix,No,
3,Yes,3,1134,30697,Number prefix,No,
3,Yes,3,1135,124289,Number prefix,No,
3,Yes,3,1,25473,Number prefix,Yes,
3,Yes,3,3,120623,Number prefix,No,
3,Yes,3,4,120631,Number prefix,No,
3,Yes,3,5,12085978,Number prefix,No,
3,Yes,3,6,12085979,Number prefix,No,
3,Yes,3,7,120990,Number prefix,No,
3,Yes,3,8,123120,Number prefix,No,
3,Yes,3,9,1240449,Number prefix,No,
3,Yes,3,10,1242,Number prefix,No,
3,Yes,3,11,124625,Number prefix,No,
3,Yes,3,12,126053,Number prefix,No,
3,Yes,3,13,126057,Number prefix,No,
3,Yes,3,14,128196,Number prefix,No,
3,Yes,3,15,13033197,Number prefix,No,
3,Yes,3,16,130333,Number prefix,No,
3,Yes,3,17,1304777,Number prefix,No,
3,Yes,3,18,130652,Number prefix,No,
3,Yes,3,19,130770,Number prefix,No,
3,Yes,3,20,131231,Number prefix,No,
3,Yes,3,21,13188545,Number prefix,No,
3,Yes,3,22,13188547,Number prefix,No,
3,Yes,3,23,1320334,Number prefix,No,
3,Yes,3,24,133053,Number prefix,No,
3,Yes,3,25,1330531,Number prefix,No,
3,Yes,3,26,133433,Number prefix,No,
3,Yes,3,27,1360339,Number prefix,No,
3,Yes,3,28,1403408,Number prefix,No,
3,Yes,3,29,140445,Number prefix,No,
3,Yes,3,30,1404455,Number prefix,No,
3,Yes,3,31,1404472,Number prefix,No,
3,Yes,3,32,1404725,Number prefix,No,
3,Yes,3,33,140541,Number prefix,No,
3,Yes,3,34,140547,Number prefix,No,
3,Yes,3,35,1438276,Number prefix,No,
3,Yes,3,36,1441336,Number prefix,No,
3,Yes,3,37,14415,Number prefix,No,
3,Yes,3,38,144159,Number prefix,No,
3,Yes,3,1138,128444,Number prefix,No,
3,Yes,3,597,39391,Number prefix,No,
