Roaming Scheme ID,Allow Roaming,Roaming Scheme Name,Roaming VLR ID,VLR Address,GSM SSF Address,Local VLR,VLR Number Type,Description
1,Yes,1,539,35386,35386,No,Number prefix,
1,Yes,1,534,35196,35196,No,Number prefix,
1,Yes,1,551,35796,35796,No,Number prefix,
1,Yes,1,556,35987,35987,No,Number prefix,
1,Yes,1,546,35568,35568,No,Number prefix,
1,Yes,1,557,35988,35988,No,Number prefix,
1,Yes,1,547,35569,35569,No,Number prefix,
1,Yes,1,548,35679,35679,No,Number prefix,
1,Yes,1,545,35489,35489,No,Number prefix,
1,Yes,1,552,35799,35799,No,Number prefix,
1,Yes,1,541,354611,354611,No,Number prefix,
1,Yes,1,554,358451,358451,No,Number prefix,
1,Yes,1,536,352061,352061,No,Number prefix,
1,Yes,1,650,4526,4526,No,Number prefix,
1,Yes,1,651,4528,4528,No,Number prefix,
1,Yes,1,654,45401,45401,No,Number prefix,
1,Yes,1,652,45311,45311,No,Number prefix,
1,Yes,1,653,45313,45313,No,Number prefix,
1,Yes,1,655,45405,45405,No,Number prefix,
1,Yes,1,702,55005,55005,No,Number prefix,
1,Yes,1,740,659,659,No,Number prefix,
1,Yes,1,742,659854,659854,No,Number prefix,
1,Yes,1,794,85511,85511,No,Number prefix,
1,Yes,1,795,85516,85516,No,Number prefix,
1,Yes,1,789,852920,852920,No,Number prefix,
1,Yes,1,790,852923,852923,No,Number prefix,
1,Yes,1,792,853634,853634,No,Number prefix,
1,Yes,1,791,852949,852949,No,Number prefix,
1,Yes,1,55,160540,160540,No,Number prefix,
1,Yes,1,57,164662,164662,No,Number prefix,
1,Yes,1,62,167866,167866,No,Number prefix,
1,Yes,1,61,164758,164758,No,Number prefix,
1,Yes,1,54,1604348,1604348,No,Number prefix,
1,Yes,1,56,1636384,1636384,No,Number prefix,
1,Yes,1,59,1647383,1647383,No,Number prefix,
1,Yes,1,60,1647384,1647384,No,Number prefix,
1,Yes,1,63,16787618,16787618,No,Number prefix,
1,Yes,1,491,2693,2693,No,Number prefix,
1,Yes,1,485,2665,2665,No,Number prefix,
1,Yes,1,486,2666,2666,No,Number prefix,
1,Yes,1,487,26771,26771,No,Number prefix,
1,Yes,1,464,26481,26481,No,Number prefix,
1,Yes,1,460,26323,26323,No,Number prefix,
1,Yes,1,443,26133,26133,No,Number prefix,
1,Yes,1,489,26773,26773,No,Number prefix,
1,Yes,1,465,26485,26485,No,Number prefix,
1,Yes,1,490,26876,26876,No,Number prefix,
1,Yes,1,462,26377,26377,No,Number prefix,
1,Yes,1,434,26097,26097,No,Number prefix,
1,Yes,1,484,26599,26599,No,Number prefix,
1,Yes,1,456,2626920,2626920,No,Number prefix,
1,Yes,1,562,3670,3670,No,Number prefix,
1,Yes,1,656,46705,46705,No,Number prefix,
1,Yes,1,665,46765,46765,No,Number prefix,
1,Yes,1,657,46707,46707,No,Number prefix,
1,Yes,1,658,46708,46708,No,Number prefix,
1,Yes,1,660,467350,467350,No,Number prefix,
1,Yes,1,662,4673547,4673547,No,Number prefix,
1,Yes,1,663,4673548,4673548,No,Number prefix,
1,Yes,1,713,56982,56982,No,Number prefix,
1,Yes,1,752,66950,66950,No,Number prefix,
1,Yes,1,749,66891,66891,No,Number prefix,
1,Yes,1,745,66816,66816,No,Number prefix,
1,Yes,1,746,66818,66818,No,Number prefix,
1,Yes,1,796,86130,86130,No,Number prefix,
1,Yes,1,798,86134,86134,No,Number prefix,
1,Yes,1,803,86157,86157,No,Number prefix,
1,Yes,1,800,86138,86138,No,Number prefix,
1,Yes,1,801,86139,86139,No,Number prefix,
1,Yes,1,68,171720,171720,No,Number prefix,
1,Yes,1,66,170450,170450,No,Number prefix,
1,Yes,1,64,170434,170434,No,Number prefix,
1,Yes,1,69,177858,177858,No,Number prefix,
1,Yes,1,67,170579,170579,No,Number prefix,
1,Yes,1,65,1704410,1704410,No,Number prefix,
1,Yes,1,70,1787590,1787590,No,Number prefix,
1,Yes,1,493,2782,2782,No,Number prefix,
1,Yes,1,494,2783,2783,No,Number prefix,
1,Yes,1,495,2784,2784,No,Number prefix,
1,Yes,1,492,27812,27812,No,Number prefix,
1,Yes,1,569,37250,37250,No,Number prefix,
1,Yes,1,570,37255,37255,No,Number prefix,
1,Yes,1,573,373691,373691,No,Number prefix,
1,Yes,1,563,370684,370684,No,Number prefix,
1,Yes,1,576,375297,375297,No,Number prefix,
1,Yes,1,564,370698,370698,No,Number prefix,
1,Yes,1,565,370699,370699,No,Number prefix,
1,Yes,1,668,47920,47920,No,Number prefix,
1,Yes,1,666,474791,474791,No,Number prefix,
1,Yes,1,760,7707,7707,No,Number prefix,
1,Yes,1,73,180825,180825,No,Number prefix,
1,Yes,1,72,180185,180185,No,Number prefix,
1,Yes,1,74,180985,180985,No,Number prefix,
1,Yes,1,75,181326,181326,No,Number prefix,
1,Yes,1,577,38050,38050,No,Number prefix,
1,Yes,1,588,38670,38670,No,Number prefix,
1,Yes,1,590,38970,38970,No,Number prefix,
1,Yes,1,587,38641,38641,No,Number prefix,
1,Yes,1,580,38163,38163,No,Number prefix,
1,Yes,1,589,38765,38765,No,Number prefix,
1,Yes,1,578,38067,38067,No,Number prefix,
1,Yes,1,581,38167,38167,No,Number prefix,
1,Yes,1,579,38068,38068,No,Number prefix,
1,Yes,1,585,38598,38598,No,Number prefix,
1,Yes,1,673,48790,48790,No,Number prefix,
1,Yes,1,669,48501,48501,No,Number prefix,
1,Yes,1,670,48601,48601,No,Number prefix,
1,Yes,1,671,48602,48602,No,Number prefix,
1,Yes,1,672,4869900,4869900,No,Number prefix,
1,Yes,1,715,58412,58412,No,Number prefix,
1,Yes,1,762,7831,7831,No,Number prefix,
1,Yes,1,763,7865,7865,No,Number prefix,
1,Yes,1,806,88017,88017,No,Number prefix,
1,Yes,1,810,88298,88298,No,Number prefix,
1,Yes,1,811,88299,88299,No,Number prefix,
1,Yes,1,813,886935,886935,No,Number prefix,
1,Yes,1,84,191790,191790,No,Number prefix,
1,Yes,1,80,190561,190561,No,Number prefix,
1,Yes,1,85,197037,197037,No,Number prefix,
1,Yes,1,81,190759,190759,No,Number prefix,
1,Yes,1,86,1989707,1989707,No,Number prefix,
1,Yes,1,79,1902718,1902718,No,Number prefix,
1,Yes,1,82,1907831,1907831,No,Number prefix,
1,Yes,1,591,39320,39320,No,Number prefix,
1,Yes,1,593,39340,39340,No,Number prefix,
1,Yes,1,595,39371,39371,No,Number prefix,
1,Yes,1,597,39391,39391,No,Number prefix,
1,Yes,1,592,39339,39339,No,Number prefix,
1,Yes,1,594,39349,39349,No,Number prefix,
1,Yes,1,677,49160,49160,No,Number prefix,
1,Yes,1,678,49170,49170,No,Number prefix,
1,Yes,1,674,49151,49151,No,Number prefix,
1,Yes,1,679,49171,49171,No,Number prefix,
1,Yes,1,680,49172,49172,No,Number prefix,
1,Yes,1,681,49175,49175,No,Number prefix,
1,Yes,1,682,49176,49176,No,Number prefix,
1,Yes,1,675,49157,49157,No,Number prefix,
1,Yes,1,683,49177,49177,No,Number prefix,
1,Yes,1,718,59394,59394,No,Number prefix,
1,Yes,1,716,59035,59035,No,Number prefix,
1,Yes,1,719,59598,59598,No,Number prefix,
1,Yes,1,771,792,792,No,Number prefix,
1,Yes,1,769,79160,79160,No,Number prefix,
1,Yes,1,767,79037,79037,No,Number prefix,
1,Yes,1,770,79167,79167,No,Number prefix,
1,Yes,1,766,790254,790254,No,Number prefix,
1,Yes,1,1,25473,25473,Yes,Number prefix,
2,Yes,2,869,919810,919810,No,Number prefix,
2,Yes,2,899,919840,919840,No,Number prefix,
2,Yes,2,925,919890,919890,No,Number prefix,
2,Yes,2,890,919831,919831,No,Number prefix,
2,Yes,2,949,919932,919932,No,Number prefix,
2,Yes,2,912,919862,919862,No,Number prefix,
2,Yes,2,927,919892,919892,No,Number prefix,
2,Yes,2,928,919893,919893,No,Number prefix,
2,Yes,2,951,919934,919934,No,Number prefix,
2,Yes,2,1120,919954,919954,No,Number prefix,
2,Yes,2,929,919894,919894,No,Number prefix,
2,Yes,2,874,919815,919815,No,Number prefix,
2,Yes,2,952,919935,919935,No,Number prefix,
2,Yes,2,904,919845,919845,No,Number prefix,
2,Yes,2,930,919895,919895,No,Number prefix,
2,Yes,2,875,919816,919816,No,Number prefix,
2,Yes,2,931,919896,919896,No,Number prefix,
2,Yes,2,954,919937,919937,No,Number prefix,
2,Yes,2,932,919897,919897,No,Number prefix,
2,Yes,2,933,919898,919898,No,Number prefix,
2,Yes,2,888,919829,919829,No,Number prefix,
2,Yes,2,908,919849,919849,No,Number prefix,
2,Yes,2,135,22676,22676,No,Number prefix,
2,Yes,2,157,22796,22796,No,Number prefix,
2,Yes,2,244,2356,2356,No,Number prefix,
2,Yes,2,198,23326,23326,No,Number prefix,
2,Yes,2,184,23276,23276,No,Number prefix,
2,Yes,2,199,23327,23327,No,Number prefix,TIGO GHANA
2,Yes,2,220,234802,234802,No,Number prefix,
2,Yes,2,259,24104,24104,No,Number prefix,
2,Yes,2,1074,24174,24174,No,Number prefix,
2,Yes,2,280,24205,24205,No,Number prefix,
2,Yes,2,263,24107,24107,No,Number prefix,
2,Yes,2,326,24827,24827,No,Number prefix,
2,Yes,2,1073,24177,24177,No,Number prefix,
2,Yes,2,314,24399,24399,No,Number prefix,
2,Yes,2,348,25072,25072,No,Number prefix,
2,Yes,2,349,25073,25073,No,Number prefix,
2,Yes,2,401,25675,25675,No,Number prefix,
2,Yes,2,367,25478,25478,No,Number prefix,
2,Yes,2,385,25578,25578,No,Number prefix,
2,Yes,2,365,254760,254760,No,Number prefix,
2,Yes,2,366,254763,254763,No,Number prefix,
2,Yes,2,443,26133,26133,No,Number prefix,
2,Yes,2,434,26097,26097,No,Number prefix,
2,Yes,2,484,26599,26599,No,Number prefix,
2,Yes,2,1,25473,25473,Yes,Number prefix,
3,Yes,3,1134,30697,30697,No,Number prefix,
3,Yes,3,1157,21198,21198,No,Number prefix,
3,Yes,3,1107,61481,61481,No,Number prefix,
3,Yes,3,1100,8180984,8180984,No,Number prefix,
3,Yes,3,1099,8180599,8180599,No,Number prefix,
3,Yes,3,925,919890,919890,No,Number prefix,
3,Yes,3,949,919932,919932,No,Number prefix,
3,Yes,3,927,919892,919892,No,Number prefix,
3,Yes,3,928,919893,919893,No,Number prefix,
3,Yes,3,951,919934,919934,No,Number prefix,
3,Yes,3,929,919894,919894,No,Number prefix,
3,Yes,3,952,919935,919935,No,Number prefix,
3,Yes,3,930,919895,919895,No,Number prefix,
3,Yes,3,931,919896,919896,No,Number prefix,
3,Yes,3,954,919937,919937,No,Number prefix,
3,Yes,3,932,919897,919897,No,Number prefix,
3,Yes,3,933,919898,919898,No,Number prefix,
3,Yes,3,1138,128444,128444,No,Number prefix,
3,Yes,3,1072,123685,123685,No,Number prefix,
3,Yes,3,1071,123658,123658,No,Number prefix,
